"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1644.02214502158","1426.82791357144","840.205259177402","792.567859246381","857.394474812969","932.357829471807","995.728275319872","1039.0798243009","1128.09888845227","1180.45341995952","1229.21510436102","1351.12072694555","1535.20452885187","1759.64684829386","1955.22262459229","2240.09273209788","2551.43546358452","2919.3734936373","3141.33193500774","2716.97436280471","2796.08143428043","2943.83687119315","3159.75860786889","3266.29882999873","3393.09252326884","3512.39350276709","3533.88503607007","3815.3747426037","4027.83393010979","4343.45839583019","4032.09043454955","4264.79961505187","4791.00481712183","5197.23509013575","5378.31799981682",
"American Samoa","ASM","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13054.6364326897","13201.7347516166","13291.5356626851","13284.2791128875","12794.7565021718","13092.3111393408","12809.4633079683","12342.0575384016","12446.3086265015","12521.8095058644","12068.2667374983","11871.7937192729","12203.0894714284","12727.4102651386","12665.2829921268","11930.7771236826","12412.6024074562","12524.0160252283","13194.274740128","13233.5784817341","13709.0974895473","","",
"Antigua and Barbuda","ATG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","6062.49730867664","6310.85528034119","6795.69319068949","7323.12585537909","7584.59252748296","7564.22182367711","7951.66482552649","8766.9905761522","9479.64251106372","10620.9981924893","11383.2024679696","12037.4265333265","12729.2904324833","13166.5241173582","13385.0114363295","13326.2728796496","13776.8264136781","14420.4693979194","13519.5287711166","14117.8679127333","14588.3079841576","14991.7802610684","15282.9733985907","15961.0918359058","15003.4389169034","14968.0703013883","15703.9347145491","16433.4130541483","17301.2134317518","19259.6486517907","20770.2689732844","20464.786306605","17746.700856041","16135.397384487","15633.9091131821","15989.3900199779","15748.1952024226","15967.284996712","16077.6340769406","16635.895232831","16992.9327495236","18042.1596435727","18525.2588907167","14950.8942397208","16084.7214406048","17456.8722243104","17789.4058123944","18468.9951703724",
"Australia","AUS","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","19905.3134669222","19997.5450015954","19767.9570765171","20597.9260588196","21607.4922239031","22455.2509839049","22470.5176072033","23587.6281171848","24355.6282531611","25531.5365288498","26829.7630995603","26975.665521972","27520.0005055853","27812.4455074509","28231.0239084901","28258.0654813537","28700.2946314702","29399.0024788699","29318.7463550853","30178.3894488631","30717.7780327511","31251.8203349363","31736.0447520616","30608.3684024318","31632.3892749783","32861.4162378766","33674.1705521479","34014.7354121968","35389.4553320904","36143.1477787181","36886.1444273767","36279.7540525751","36029.4845675544","37155.5123959647","38264.146671105","39310.7982327944","40337.1060519133","41464.4982180697","42967.6616681962","44636.9418129494","45859.5162097045","46191.3142366289","47486.2783216389","48394.1269478095","49902.0187022536","50853.1976727529","51553.9685966991","52531.7611201084","53336.1012157008","53237.0077642312","53578.8125049759","54111.357240336","55257.5739287362","55728.0174035719","56327.8533063277","56739.0265346593","57401.0662268939","57750.6482221688","58530.7821697117","58924.733646242","58132.798523626","59276.503107197","61009.8077147403","61598.1776089916","61211.8967637303",
"Austria","AUT","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","11894.7441321731","12484.8087482702","12737.1853700715","13179.3524498439","13893.5858435903","14283.9973821757","14984.5530346847","15320.3583304571","15922.6386654781","16863.5863487954","18001.7830752008","18838.3155993467","19891.8259854297","20749.343993787","21530.6342227432","21509.3123429813","22533.8803345008","23669.5086348985","23638.7784066043","24947.5270743961","25379.462993097","25278.295236062","25768.2192735584","26577.2454719789","26592.5469190439","27244.2148386511","27853.5049872765","28213.6633992636","29102.3222540003","30097.6512878468","31167.1857978698","31919.5573520278","32231.1216141522","32134.8299135937","32780.3419423369","33603.4278263558","34301.6562151382","34998.0321173934","36180.7490571265","37468.8698869794","38571.0858780001","38929.753800545","39313.7225107545","39569.2885567329","40333.3307183894","40989.0131778975","42120.1557002022","43568.8302243941","44063.8642019916","42372.4758254763","43035.4073531933","44146.1956805294","44221.4599530893","43851.3675497404","43838.8345892137","43915.228020857","44362.6702805116","45056.6385912412","45951.5819164034","46550.5622459492","43428.6983137234","45313.3988964964","47250.9695999523","46338.9570588922","45562.0406911157",
"Azerbaijan","AZE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2866.41060612613","2808.72744341073","2141.34003757856","1621.91809335648","1284.95555025956","1120.30867750928","1123.44793802972","1177.19685946713","1282.68413702085","1365.56585096546","1504.73106650409","1640.93664218988","1782.47318953927","1949.60609246235","2111.45338332183","2674.36885551094","3556.83212041859","4412.20325719633","4778.12451579136","5118.43395103717","5300.11049447988","5149.20665199301","5193.175009361","5425.99558858555","5508.6026585312","5500.50364628486","5272.71816973266","5229.25259747579","5261.92938170171","5346.95319282755","5087.50022691293","5349.5822595965","5599.58525100539","5668.61020477202","5871.13221811331",
"Burundi","BDI","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","288.878981794325","242.941546520881","258.32430129828","263.40036642487","272.062735830387","275.137917931711","280.9791596902","311.798763802316","303.540804264871","292.685745718482","347.474495973999","348.446416961289","326.146546923774","349.110750686492","338.001655805809","332.021353354811","350.45300889241","380.747850621793","366.426911477842","363.382611221262","351.900419860718","378.943663862466","365.710192122894","369.268854137523","360.98937587784","394.902104849267","400.156015299278","412.654046294404","423.919810604935","421.287694857326","427.030031561228","439.186232093461","431.918861835852","417.919297574139","399.309631526324","346.321302413385","318.395682563648","313.357142719203","322.030961886279","311.230622126912","302.219163799824","300.799882759047","305.4383585397","292.318595090044","295.235119511615","287.030688980174","291.866399549575","290.979116170807","292.793764973044","288.941917826614","289.856950614392","290.948032142504","293.232620547249","296.816900573427","299.077479357732","280.966831311923","274.513363399011","269.47688960656","265.672394335817","261.750180238427","255.078218433565","255.917950730796","253.69164159159","253.44565118586","255.598395837897",
"Belgium","BEL","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","11715.8268363285","12258.2997442373","12845.9668652549","13305.1271367531","14096.6676916521","14466.6269342815","14822.7175245478","15310.6184988568","15890.1322014885","16895.704839012","17951.3223757272","18632.8422933665","19542.8867391462","20724.7405753826","21602.8018308189","21116.9915506255","22270.8535641559","22382.648446366","22997.2737603991","23514.5117930815","24532.4569582102","24464.5869932428","24616.83722877","24695.5649688117","25305.0320542767","25715.3579688704","26174.7550878409","26755.6980811501","27930.4858968463","28794.6548841575","29609.6207516724","30040.5508404095","30376.8745342462","29967.3944241601","30839.2414336465","31508.622663522","31862.6693868132","32991.5010116146","33566.9875919507","34676.6051555263","35878.3153586195","36148.2880924306","36600.862592332","36826.2699296094","37976.6972967442","38645.2605193362","39371.0858277448","40520.0843207009","40380.9075004042","39293.637546825","39991.5646206286","40236.9596308558","40074.492800399","40007.8997891411","40533.9135027898","40893.804537772","41172.8862831209","41619.328629169","42208.3625650272","43006.4042308863","40769.0218072962","43121.9429709785","44596.7859981166","44722.1955283977","44837.7242665704",
"Benin","BEN","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","655.913007563868","665.431250366532","631.42071510316","649.260123067951","679.356446871351","701.332145059658","711.858170524999","704.838581809146","716.640156003181","721.532496801575","720.605098618137","694.034044850035","721.876315776552","731.313119718855","737.948326243781","684.962291595042","674.040866533898","689.858786250037","680.651097993039","706.10443231183","733.490637341118","783.925193667226","778.638765032765","723.483520668885","758.361165674301","791.727164830118","785.143070110497","750.403840602099","752.704034985609","709.188907710243","749.459666582926","757.403145107877","756.080888165851","765.479914438342","752.277508740764","781.0647884601","793.7950526962","814.901395438676","821.459971433599","838.976786975768","861.213292013209","879.854463773645","893.137100961634","896.146763201736","907.624431209378","893.91536869992","900.62053578735","926.740113754071","943.203380303862","936.565651071554","928.246655329144","927.716412836707","943.918771531001","982.399206290516","1014.4330062135","1002.41886879614","1006.03926633023","1032.90471194182","1071.50452156932","1114.17304526443","1126.65404122154","1176.37727637273","1218.49668929091","1263.62158336368","1324.78312597434",
"Burkina Faso","BFA","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","244.167257873365","250.394091012667","261.880916903197","254.731183016035","256.568911549561","262.001316967784","259.130285238002","277.313189171404","280.960315015046","281.73763833434","277.184105813715","276.290476527029","277.846496112942","274.152506421818","291.303145502961","294.050755641012","312.385989060691","306.319820987094","312.546378441226","315.71696837442","309.805283645997","314.286582559959","334.96046501527","326.730273513319","311.788334185274","328.715164630481","344.993912306641","334.888996959212","344.904464201203","343.089820260752","332.153276660935","353.206720757378","345.401816823349","348.581211032689","344.371184069503","354.841188502861","383.973583031147","397.838955257373","415.273513470241","433.104727597234","428.309796566198","442.914122870048","448.128856317091","468.263047790124","474.086412333459","499.192797571217","514.113131757062","519.26101218434","533.471299938288","533.470084831931","561.847221302489","581.603658737407","600.731343697818","616.741331164082","624.576885187665","630.124750752312","648.420480176012","669.276310328333","694.492813126351","717.021595096634","713.8421779224","745.472563435144","739.363021191451","744.165760639938","763.911780313875",
